Semana 1,,Kills Blue,Kills Red,Total de kills
Top Esports,Suning,3,9,12
Top Esports,Suning,16,27,43
Oh My God,EDward Gaming,4,15,19
EDward Gaming,Oh My God,8,18,26
Oh My God,EDward Gaming,8,16,24
Team WE,Rogue Warriors,15,7,22
Rogue Warriors,Team WE,12,17,29
Invictus Gaming,JD Gaming,16,4,20
Invictus Gaming,JD Gaming,25,7,32
,,,,
Semana 2,,Kills Blue,Kills Red,
eStar,Bilibili Gaming,14,4,18
eStar,Bilibili Gaming,6,18,24
eStar,Bilibili Gaming,11,19,30
TT Gaming,RNG,4,18,22
TT Gaming,RNG,6,19,25
FunPlus Phoenix,Oh My God,14,2,16
FunPlus Phoenix,Oh My God,19,11,30
Rogue Warriors,Top Esports,3,17,20
Rogue Warriors,Top Esports,21,24,45
Rogue Warriors,Top Esports,21,12,33
Team WE,Victory Five,20,8,28
Victory Five,Team WE,14,2,16
Team WE,Victory Five,17,15,32
LNG Esports,Invictus Gaming,13,1,14
LNG Esports,Invictus Gaming,23,15,38
Bilibili Gaming,JD Gaming,21,25,46
JD Gaming,Bilibili Gaming,19,8,27
RNG,Suning,22,16,38
RNG,Suning,8,20,28
Suning,RNG,2,12,14
Rogue Warriors,eStar,7,19,26
eStar,Rogue Warriors,22,4,26
Top Esports,Rare Atom,21,7,28
Top Esports,Rare Atom,15,3,18
Victory Five,LGD Gaming,3,16,19
LGD Gaming,Victory Five,4,15,19
Victory Five,LGD Gaming,12,2,14
EDward Gaming,FunPlus Phoenix,11,2,13
FunPlus Phoenix,EDward Gaming,17,10,27
EDward Gaming,FunPlus Phoenix,10,8,18
LNG Esports,TT Gaming,17,7,24
TT Gaming,LNG Esports,6,6,12
LNG Esports,TT Gaming,11,4,15
Team WE,Invictus Gaming,9,19,28
Team WE,Invictus Gaming,17,9,26
Team WE,Invictus Gaming,20,4,24
,,,,
Semana 3,,Kills Blue,Kills Red,
eStar,Oh My God,14,27,41
eStar,Oh My God,10,1,11
Oh My God,eStar,10,20,30
Bilibili Gaming,Victory Five,19,6,25
Victory Five,Bilibili Gaming,22,13,35
Bilibili Gaming,Victory Five,13,19,32
Rogue Warriors,FunPlus Phoenix,6,19,25
FunPlus Phoenix,Rogue Warriors,25,13,38
EDward Gaming,LGD Gaming,16,4,20
LGD Gaming,EDward Gaming,16,23,39
Invictus Gaming,eStar,14,6,20
Invictus Gaming,eStar,21,8,29
Rare Atom,Suning,10,6,16
Rare Atom,Suning,19,9,28
TT Gaming,Team WE,6,18,24
TT Gaming,Team WE,5,23,28
Oh My God,RNG,18,28,46
RNG,Oh My God,10,8,18
Rare Atom,Bilibili Gaming,14,22,36
Bilibili Gaming,Rare Atom,22,13,35
EDward Gaming,JD Gaming,10,10,20
JD Gaming,EDward Gaming,7,20,27
Top Esports,LGD Gaming,13,2,15
LGD Gaming,Top Esports,11,25,36
FunPlus Phoenix,Suning,13,7,20
Suning,FunPlus Phoenix,18,18,36
Rogue Warriors,Victory Five,4,13,17
Victory Five,Rogue Warriors,21,5,26
Team WE,LNG Esports,15,8,23
Team WE,LNG Esports,23,6,29
,,,,
Semana 4,,Kills Blue,Kills Red,
EDward Gaming,TT Gaming,22,9,31
TT Gaming,EDward Gaming,11,15,26
JD Gaming,Rare Atom,20,9,29
Rare Atom,JD Gaming,5,20,25
RNG,Victory Five,17,6,23
Victory Five,RNG,25,13,38
RNG,Victory Five,20,9,29
